CVEGEO,$CO$,$HCHO$,$NO_2$,$O_3$,$SO_2$,NOM_ENT,NOM_MUN,NOM_LOC,POB_TOTAL,GM_2020
0600800010078,1.9880054300412127,0.01222700833179672,0.006316871377529086,12.912958135281237,0.002755264582177818,Colima,Minatitlán,Minatitlán,1412,2
0600800010097,2.902388518177962,0.01772783993767836,0.009211479377230597,18.84598454895622,0.0034255616970343314,Colima,Minatitlán,Minatitlán,857,5
0600800010114,2.3993381029744594,0.01510035582445101,0.007649114896252783,15.717140708953915,0.00436271115295023,Colima,Minatitlán,Minatitlán,810,3
0600800010129,1.4723317415345767,0.009192215714567631,0.004687852105582875,9.598697690805947,0.0028498398480393374,Colima,Minatitlán,Minatitlán,1353,2
0600800010133,1.7309181627013897,0.010910933895945331,0.005527726512261928,11.349361513303863,0.0031758804381185318,Colima,Minatitlán,Minatitlán,1586,2
0600900010200,2.4758963970293584,0.015361279916095491,0.006637593996351623,12.976415186619061,0.006716207958575037,Colima,Tecomán,Tecomán,2334,3
060090001022A,5.252079444795361,0.03134489991145945,0.013438743548365486,27.40991257822434,0.013879169840763008,Colima,Tecomán,Tecomán,1797,3
0600900010234,1.035032959655058,0.006334578110848,0.002670515815207365,5.442222291959402,0.002404819864384927,Colima,Tecomán,Tecomán,1598,4
0600900010272,3.056341744253197,0.018410320884520198,0.007893439248795984,15.96598681435351,0.008102705620945493,Colima,Tecomán,Tecomán,2593,2
0600900010323,5.214033731494173,0.032845752395481126,0.0140082876608318,27.343182733540633,0.012423062803876426,Colima,Tecomán,Tecomán,616,4
0600900010357,15.273477506014705,0.09219265495041434,0.0401312966481179,79.775395050205,0.03863764007523794,Colima,Tecomán,Tecomán,4366,2
0600900010361,7.217259871291709,0.04379873144891015,0.018605604753071926,38.11821747950365,0.01967059533523243,Colima,Tecomán,Tecomán,3043,5
0600900010446,4.188895248795735,0.025757448433521776,0.011118583983818464,21.916840758469455,0.01061461272318915,Colima,Tecomán,Tecomán,1673,3
0600900010450,4.087490601941642,0.025105967880278524,0.01081828498915389,21.390153147307718,0.009964838419745353,Colima,Tecomán,Tecomán,1538,3
0600900010465,2.6116960618182765,0.01603701111352494,0.006908236015712173,13.675237140847841,0.006473534089758666,Colima,Tecomán,Tecomán,2388,4
060090001047A,2.716557594300124,0.016595502081378673,0.007145451274672792,14.202685555515448,0.00688420046759668,Colima,Tecomán,Tecomán,1802,2
0600900010484,3.420871344890847,0.02077064932920894,0.008943592896052142,17.88474869562003,0.007885208894671274,Colima,Tecomán,Tecomán,2465,4
0600900010499,4.039529725282649,0.02432026991556685,0.010513328401592316,21.039211170491647,0.00973566704265174,Colima,Tecomán,Tecomán,1451,3
0600900010501,4.084153553267412,0.02455638583995066,0.010568879216694877,21.426432433682578,0.01017040878480866,Colima,Tecomán,Tecomán,3072,4
0600900010516,4.1918655534406755,0.0249687114746174,0.010839673700916421,21.94584091593916,0.010751386905455558,Colima,Tecomán,Tecomán,1910,4
0600900010520,2.8255908466776045,0.016956667728680132,0.0072973644811648,14.744019123343831,0.0075697149528388425,Colima,Tecomán,Tecomán,1191,3
0600900010535,4.152052769510808,0.02485662004138671,0.010700308912119353,21.78672106934883,0.011438542907672903,Colima,Tecomán,Tecomán,2163,3
060090001054A,2.40678527982208,0.014383983845302015,0.0062071802866480634,12.65031749841688,0.006527073477572595,Colima,Tecomán,Tecomán,2671,4
0600900010554,2.6292461137296472,0.015936913397764613,0.0067745807223710455,13.882107150361916,0.007365598701108917,Colima,Tecomán,Tecomán,2657,4
0600900010569,4.117070147308868,0.02489957017593074,0.010691065132253319,21.58755725599785,0.009767514272539265,Colima,Tecomán,Tecomán,1833,4
0600900010573,2.239586545050508,0.013497465555705267,0.005770007358559287,11.774897008488384,0.005684243933252219,Colima,Tecomán,Tecomán,2240,4
