Estado,CVE Estado,Categoría,Subcategoría,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
Sonora,26,Fuentes misceláneas,Incendios forestales,6434.290095,5459.836878,588.4968462,63903.73807,1894.451346,4462.091842,641.0998276
Sonora,26,Fuentes misceláneas,Ladrilleras,540.0456444,492.811139,44.63234266,106.5846989,24.64771162,11.99077862,0
Sonora,26,Manejo de Residuos,Aguas residuales,0,0,0,0,0,3592.971533,0
Sonora,26,Manejo de Residuos,Quema de residuos a cielo abierto,19.60638123,17.95531754,0.515957401,43.85637906,3.095744404,4.41453152,0
Sonora,26,Manejo de Residuos,Rellenos sanitarios,0,0,0,4.371895246,0,231.8171792,0
Sonora,26,Quema de combustibles en fuentes estacionarias,Combustión agrícola,1.758174511,1.758171632,0.062412877,14.40372357,25.29408734,0.883506842,0.000312911
Sonora,26,Quema de combustibles en fuentes estacionarias,Combustión comercial,9.151692918,9.151692918,0.337127145,75.76769704,131.2655215,4.659258167,0.01818097
Sonora,26,Quema de combustibles en fuentes estacionarias,Combustión doméstica,984.5753377,948.8407436,28.36917907,11423.9666,678.8318214,2486.233721,0.243660261
Sonora,26,Quema de combustibles en fuentes estacionarias,Combustión industrial,28.62683261,7.164517625,1.537560469,144.3688691,570.3624081,5.842336981,22.59191051
Sonora,26,Uso de Solventes,Artes gráficas,0,0,0,0,0,1021.119154,0
Sonora,26,Uso de Solventes,Asfaltado,0,0,0,0,0,158.0174009,0
Sonora,26,Uso de Solventes,Lavado en seco,0,0,0,0,0,200.6014123,0
Sonora,26,Uso de Solventes,Limpieza de superficies industriales,0,0,0,0,0,4034.43202,0
Sonora,26,Uso de Solventes,Pintado Automotriz,0,0,0,0,0,651.3946991,0
Sonora,26,Uso de Solventes,Pintura para señalización vial,0,0,0,0,0,149.9505237,0
Sonora,26,Uso de Solventes,Recubrimiento de superficies arquitectónicas,0,0,0,0,0,1456.458766,0
Sonora,26,Uso de Solventes,Recubrimiento de superficies en la industria,0,0,0,0,0,676.5859611,0
Sonora,26,Uso de Solventes,Uso doméstico de solventes,0,0,0,0,0,6793.718645,0
Tabasco,27,Agropecuarias,Aplicación de fertilizantes,0,0,0,0,0,0,1253.27146
Tabasco,27,Agropecuarias,Aplicación de plaguicidas,0,0,0,0,0,28.61879823,0
Tabasco,27,Agropecuarias,Corrales de engorda,308.303298,35.20823663,0,0,0,0,0
Tabasco,27,Agropecuarias,Emisiones ganaderas de amoniaco,0,0,0,0,0,0,5307.789496
