CVE Estado,Estado,CVE Municipio,Municipio,Subcategoría,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
01,Aguascalientes,006,Pabellón de Arteaga,Veh>3.8Ton,9.152146629,8.416976045,1.283879487,60.54778756,40.90939186,6.085917881,0.110939612
01,Aguascalientes,007,Rincón de Romos,Autobús,3.563289796,3.278179592,0.71162449,12.1821551,31.45785306,1.816457143,0.037591837
01,Aguascalientes,007,Rincón de Romos,Autos particulares,1.29089729,1.142076573,2.29487459,499.8492805,93.08678539,61.45700008,0.768502598
01,Aguascalientes,007,Rincón de Romos,Camionetas particulares,0.349874891,0.309514578,0.855119887,166.0456638,33.37202198,18.41778481,0.232157311
01,Aguascalientes,007,Rincón de Romos,Combi,0.182497592,0.167051541,0.469130058,26.32718593,6.29658526,2.030031792,0.092015896
01,Aguascalientes,007,Rincón de Romos,Cruces fronterizos,0,0,0,0,0,0,0
01,Aguascalientes,007,Rincón de Romos,Embarcaciones marinas,0,0,0,0,0,0,0
01,Aguascalientes,007,Rincón de Romos,Equipos en aeropuertos,0,0,0,0,0,0,0
01,Aguascalientes,007,Rincón de Romos,Locomotoras de patio,0,0,0,0,0,0,0
01,Aguascalientes,007,Rincón de Romos,Locomotoras de recorrido,1.007041856,0.904630819,0.364128129,3.999719912,40.58321783,1.50202853,0
01,Aguascalientes,007,Rincón de Romos,Maquinaria agrícola,11.08432643,10.75179663,2.212838312,65.95846956,87.00654988,11.00124483,0
01,Aguascalientes,007,Rincón de Romos,Motocicletas,1.091715563,0.965761433,3.009258606,754.5673711,36.72479034,62.20959974,1.979773613
01,Aguascalientes,007,Rincón de Romos,Pickup y Veh<3.8Ton,2.25478271,2.019635461,2.919555279,621.3221829,108.722526,60.03012111,0.793499983
01,Aguascalientes,007,Rincón de Romos,Taxi,0.008847434,0.007811109,0.181836419,14.08958472,4.329565971,1.105527068,0.041978908
01,Aguascalientes,007,Rincón de Romos,Terminales de autobuses,0,0,0,0,0,0,0
01,Aguascalientes,007,Rincón de Romos,Tractocamión,1.706567292,1.57002106,0.232712076,2.872256005,7.145670944,0.536875288,0.016360645
01,Aguascalientes,007,Rincón de Romos,Veh>3.8Ton,12.34275954,11.3495762,1.809323472,107.4885193,57.01715095,9.795596855,0.163501648
01,Aguascalientes,008,San José de Gracia,Autobús,0.118776327,0.109272653,0.023720816,0.406071837,1.048595102,0.060548571,0.001253061
01,Aguascalientes,008,San José de Gracia,Autos particulares,0.18140715,0.16049368,0.322494022,70.24279485,13.08129515,8.636426253,0.107996095
01,Aguascalientes,008,San José de Gracia,Camionetas particulares,0.052080614,0.046072781,0.127288838,24.71672095,4.967591057,2.741578655,0.034557768
01,Aguascalientes,008,San José de Gracia,Combi,0.009043353,0.008072254,0.16265896,9.482653179,2.149465318,0.737427746,0.032713873
01,Aguascalientes,008,San José de Gracia,Cruces fronterizos,0,0,0,0,0,0,0
01,Aguascalientes,008,San José de Gracia,Embarcaciones marinas,0,0,0,0,0,0,0
01,Aguascalientes,008,San José de Gracia,Equipos en aeropuertos,0,0,0,0,0,0,0
01,Aguascalientes,008,San José de Gracia,Locomotoras de patio,0,0,0,0,0,0,0
