SECTOR,CVE_ENT_1,ENTFED,PM10,PM2.5,SOX,CO,NOX,COV,NH3
Extracción/Beneficio minerales no metálicos,26,Sonora,22.03475985,12.89822635,11.05702718,11.20917277,51.23084045,13.2328032,1.586690054
Extracción/Beneficio minerales no metálicos,30,Veracruz de Ignacio de la Llave,201.61534,108.9032,750.7817,5.5802,145.0397,1.07687,4.32968
Extracción/Beneficio minerales no metálicos,32,Zacatecas,0.449016321,0.4450594,1.381810829,1.205332487,5.906384435,0.053177862,0.187043951
Generación de energía eléctrica,2,Baja California,1402.708897,1400.762321,30.06749723,4515.07304,13187.3747,516.4109464,240.7092776
Generación de energía eléctrica,3,Baja California Sur,5771.570006,4374.196737,32209.45832,4767.200973,34905.57053,1646.615668,151.8805932
Generación de energía eléctrica,4,Campeche,671.027927,605.9660906,9260.800015,445.6778236,2402.37373,54.48738941,41.54562517
Generación de energía eléctrica,5,Coahuila de Zaragoza,6181.796738,2807.931832,197118.4766,2797.210519,59764.3467,974.8764032,41.17836082
Generación de energía eléctrica,6,Colima,5325.103104,4713.052562,87029.68737,2412.287734,9687.403552,271.0081799,204.7237715
Generación de energía eléctrica,8,Chihuahua,2986.940236,2797.442627,26968.1822,4400.749319,17874.14632,475.0891971,278.6087195
Generación de energía eléctrica,9,Distrito Federal,143.70623,143.70623,2.16416531,388.4585904,1492.990461,43.84605103,21.78837592
Generación de energía eléctrica,10,Durango,1535.122524,1438.759008,13720.60885,2983.456915,10486.47888,282.3739871,164.8997389
Generación de energía eléctrica,11,Guanajuato,1169.543387,1098.216735,10155.95154,2265.822124,7343.032669,216.9973016,126.2190659
Generación de energía eléctrica,12,Guerrero,634.5346004,276.1428763,125119.2563,1756.72054,26280.19886,708.8744937,2.600772975
Generación de energía eléctrica,13,Hidalgo,8040.429705,7096.395665,134246.5355,2775.373938,16662.2714,342.8397247,273.3266048
Generación de energía eléctrica,15,México,458.5008465,457.8328032,668.0947497,2736.994523,5404.741218,211.4944048,120.5495914
Generación de energía eléctrica,16,Michoacán de Ocampo,101.1162502,65.85953811,1818.776862,15.24285,167.67135,0.858009143,2.435328366
Generación de energía eléctrica,19,Nuevo León,1679.938951,1661.634176,44.69228221,4675.631304,15606.12699,432.0942761,217.3879222
Generación de energía eléctrica,21,Puebla,352.7644894,352.7644894,5.333995716,929.5914508,3705.544982,101.2109475,54.83479405
Generación de energía eléctrica,22,Querétaro,442.864904,442.6236775,70.83252632,1147.097241,4858.511722,124.0125331,73.6916725
Generación de energía eléctrica,23,Quintana Roo,84.2371006,76.38152029,390.4432679,80.92116557,842.6677668,16.47938434,22.28287345
Generación de energía eléctrica,24,San Luis Potosí,3640.301339,3308.986629,65524.1687,2722.804951,17598.07669,310.4946838,188.3636242
Generación de energía eléctrica,25,Sinaloa,4354.621388,3805.046634,78148.80425,661.9820959,6247.513195,101.280559,107.2458139
Generación de energía eléctrica,26,Sonora,5516.147388,4911.632932,85971.80356,2614.456195,12905.09952,318.6457262,232.548516
Generación de energía eléctrica,28,Tamaulipas,5227.247831,5061.095051,23452.04121,10820.62559,40048.83054,1124.185229,648.1085528
Generación de energía eléctrica,29,Tlaxcala,8.1979,8.1979,0.1118,12.8432,135.2,0.3289,0
Generación de energía eléctrica,30,Veracruz de Ignacio de la Llave,9609.196867,8682.433642,131817.7366,7088.487431,34319.51338,820.5391702,530.2595816
Generación de energía eléctrica,31,Yucatán,1906.885909,1755.972276,21582.38468,2013.783782,9350.466043,220.2613867,159.296294
Impresión,2,Baja California,0.13186,0.09693,1.48E-06,0.0138,0.0813,38.0559,0
Impresión,9,Distrito Federal,8.335020138,6.583386735,0.980510748,10.66055231,17.32915866,3111.115792,0.105687194
Impresión,14,Jalisco,6.428137412,4.812842291,115.421781,0.998034,11.0117988,1543.170478,0.159472035
Impresión,15,México,27.18198348,24.27087771,3.543432209,82.9750427,475.4627401,516.6094665,0.071011428
Impresión,19,Nuevo León,0.087015634,0.073388434,0,0.0008,0.0008,144.9943868,0
Impresión,22,Querétaro,3.177009,2.2579245,1.08E-05,0.1005,0.5928,63.431131,0
Impresión,24,San Luis Potosí,0.2418,0.1585,4.2957,0.0689,0.4352,0.0042,0.0071
Impresión,28,Tamaulipas,5.225536655,5.225536655,0.33724461,27.86952883,165.4753274,2.417757358,3.001767761
Industria textil,1,Aguascalientes,1.520400009,0.955200009,68.75864961,6.242762011,18.90697298,0.3528,0.4197
Industria textil,2,Baja California,4.079075,2.987987,0.187931678,12.63462,1.50511,9.51941,0
Industria textil,4,Campeche,0.1911,0.1244,3.4364,0.0288,0.3168,0.0016,0.0046
Industria textil,5,Coahuila de Zaragoza,5.3636,4.7143,0.243433658,34.324,42.3389,2.2581,1.2998
Industria textil,8,Chihuahua,21.4069,15.1818,0.0008,0.50866,1.32778,4.473608,0.0042
Industria textil,9,Distrito Federal,62.96011716,62.19699002,1.285906009,18.89530139,27.6697108,884.4857417,0.564166585
Industria textil,10,Durango,15.33977648,14.69008228,0.2724,38.0173,73.72463162,2.488,1.4529
Industria textil,11,Guanajuato,3.92233528,3.492351885,61.18328872,6.197441365,13.02413684,0.451648599,0.30397772
Industria textil,13,Hidalgo,24.76629995,16.86070634,459.2604926,24.58366759,71.45269972,2.381472537,1.354656858
Industria textil,14,Jalisco,10.7283,7.40505,70.63079981,5.0625,10.7122,17.1854,0.2471
Industria textil,15,México,114.7657869,60.16073867,41.36998305,572.8832371,267.1375614,255.1442414,3.601768746
Industria textil,17,Morelos,23.7602064,16.9106852,144.0198,15.2116,30.0885,0.9676,0.7184
Industria textil,19,Nuevo León,1.482389101,1.142534801,0.0434,6.074,7.6604,4.895189,0.2295
Industria textil,21,Puebla,68.53451478,47.64472629,701.4501882,69.80494954,180.0729114,4.666794525,3.335402895
Industria textil,22,Querétaro,24.99867,22.442735,1.276028356,178.9503,214.2805,14.598,6.8297
Industria textil,24,San Luis Potosí,0.093,0.0233,0.5284,0.4651,1.8605,0.0186,0.0745
Industria textil,26,Sonora,1.36182688,0.97432284,1.70E-05,0.1585,0.935,21.754024,0
Industria textil,28,Tamaulipas,0.0001,0.00008,0,0,0,0.609159,0
Industria textil,29,Tlaxcala,2.383360284,1.689950202,16.99874005,10.96006482,13.6208721,0.01936908,0
Industria textil,30,Veracruz de Ignacio de la Llave,1.371402616,1.371402616,0.108252838,15.15739733,18.04483968,0.992567682,0.57904847
Industria textil,31,Yucatán,1.3367,1.1639,34.36479107,4.9974,30.92,0.4927,0.0461
Madera,2,Baja California,98.826476,91.845416,0.001682177,1.35063,0.448628,1334.584203,0
Madera,8,Chihuahua,6.620815864,4.839928252,21.27616,96.67972,25.5764,196.92364,0.203997758
Madera,9,Distrito Federal,1.667252984,0.62978931,0.006364471,0.321936695,0.573141518,19.49783474,0.000576
